Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Month,Avg Salary
Data Scientist,Integrate APIs and microservices using Docker for web systems.,"aws, docker, node.js, react",£26 - £38,Ho Chi Minh City,NashTech,Entry-Level,Cybersecurity,Full-Time,2020-08-16,26,38,2020-08,32.0
Cloud Engineer,Develop and maintain web applications using React for client projects.,"aws, node.js, postgresql, react",£55 - £65,Da Nang,Zalo,Senior,Data Science,Full-Time,2020-05-31,55,65,2020-05,60.0
Software Engineer,Create responsive front-end interfaces with Python for modern web apps.,"postgresql, python",£36 - £46,Remote,Tiki,Mid-Level,Web Development,Full-Time,2020-07-14,36,46,2020-07,41.0
Software Engineer,Design scalable backend systems with Docker to support web platforms.,"docker, hibernate",£32 - £47,Hai Phong,FPT Software,Mid-Level,Data Science,Part-Time,2020-08-29,32,47,2020-08,39.5
Full Stack Developer,Lead development of web and full stack projects utilizing Python.,"python, spring boot",£60 - £65,Ho Chi Minh City,Haravan,Senior,Artificial Intelligence,Full-Time,2020-05-29,60,65,2020-05,62.5
Backend Developer,Create responsive front-end interfaces with Docker for modern web apps.,"docker, git, mongodb",£40 - £50,Ho Chi Minh City,Viettel Solutions,Mid-Level,Mobile Development,Full-Time,2020-06-06,40,50,2020-06,45.0
Full Stack Developer,Integrate APIs and microservices using Docker for web systems.,"docker, git, hibernate, python",£32 - £47,Ho Chi Minh City,Nexlify Vietnam,Mid-Level,Software Development,Full-Time,2020-07-19,32,47,2020-07,39.5
Web Developer,Create responsive front-end interfaces with Docker for modern web apps.,"docker, postgresql, sql",£18 - £33,Da Nang,TMA Solutions,Entry-Level,Cybersecurity,Part-Time,2020-01-01,18,33,2020-01,25.5
Cloud Engineer,Create responsive front-end interfaces with Git for modern web apps.,"git, hibernate, postgresql, react",£29 - £42,Da Nang,VinAI,Mid-Level,Cybersecurity,Part-Time,2020-04-01,29,42,2020-04,35.5
Data Scientist,Design scalable backend systems with AWS to support web platforms.,"aws, node.js, python, react",£22 - £33,Ho Chi Minh City,Tiki,Entry-Level,Mobile Development,Full-Time,2020-11-10,22,33,2020-11,27.5
Cloud Engineer,Develop and maintain web applications using Spring Boot for client projects.,"mongodb, python, spring boot",£21 - £32,Hanoi,Viettel Solutions,Entry-Level,IT Infrastructure,Full-Time,2020-02-20,21,32,2020-02,26.5
Web Developer,Create responsive front-end interfaces with Docker for modern web apps.,"docker, hibernate, java, node.js",£29 - £36,Ho Chi Minh City,NashTech,Entry-Level,Software Development,Full-Time,2020-12-07,29,36,2020-12,32.5
Data Scientist,Develop and maintain web applications using Python for client projects.,"python, spring boot",£61 - £66,Ho Chi Minh City,Lazada Vietnam,Senior,Artificial Intelligence,Full-Time,2020-01-06,61,66,2020-01,63.5
Full Stack Developer,Develop and maintain web applications using Git for client projects.,"docker, git, hibernate, python",£21 - £36,Hue,Zalo,Entry-Level,Web Development,Part-Time,2020-07-22,21,36,2020-07,28.5
Web Application Developer,Develop and maintain web applications using PostgreSQL for client projects.,"mongodb, postgresql, react",£55 - £68,Ho Chi Minh City,Viettel Solutions,Senior,Software Development,Full-Time,2020-11-11,55,68,2020-11,61.5
Full Stack Developer,Build full stack solutions using SQL to enhance user experience.,"node.js, spring boot, sql",£53 - £59,Remote,VinAI,Senior,Cybersecurity,Part-Time,2020-03-27,53,59,2020-03,56.0
Data Scientist,Design scalable backend systems with Docker to support web platforms.,"docker, spring boot",£51 - £61,Da Nang,Viettel Solutions,Senior,Data Science,Full-Time,2020-07-05,51,61,2020-07,56.0
Backend Developer,Build full stack solutions using Node.js to enhance user experience.,"aws, java, node.js",£30 - £38,Hanoi,VNG,Entry-Level,IT Infrastructure,Contract-Type,2020-09-09,30,38,2020-09,34.0
Backend Developer,Integrate APIs and microservices using SQL for web systems.,"mongodb, python, react, sql",£42 - £53,Hanoi,VNG,Mid-Level,IT Infrastructure,Full-Time,2020-04-06,42,53,2020-04,47.5
Data Scientist,Design scalable backend systems with Python to support web platforms.,"docker, python, react, sql",£33 - £40,Ho Chi Minh City,FPT Software,Mid-Level,Mobile Development,Full-Time,2020-12-10,33,40,2020-12,36.5
Backend Developer,Create responsive front-end interfaces with AWS for modern web apps.,"aws, docker, git",£35 - £47,Hanoi,VinAI,Mid-Level,Software Development,Full-Time,2020-12-05,35,47,2020-12,41.0
Software Engineer,Integrate APIs and microservices using Java for web systems.,"docker, java, spring boot",£60 - £67,Hanoi,Lazada Vietnam,Senior,IT Infrastructure,Full-Time,2020-07-25,60,67,2020-07,63.5
Web Developer,Optimize Java-based web applications with React for performance.,"hibernate, python, react",£20 - £35,Hanoi,Viettel Solutions,Entry-Level,Web Development,Part-Time,2020-10-13,20,35,2020-10,27.5
Java Developer,Create responsive front-end interfaces with Docker for modern web apps.,"docker, node.js, postgresql",£20 - £29,Hanoi,Techcombank IT,Entry-Level,Cybersecurity,Part-Time,2020-04-12,20,29,2020-04,24.5
Data Scientist,Lead development of web and full stack projects utilizing Docker.,"docker, python",£29 - £42,Remote,Nexlify Vietnam,Mid-Level,Data Science,Part-Time,2020-09-07,29,42,2020-09,35.5
Web Developer,Lead development of web and full stack projects utilizing React.,"docker, git, react",£33 - £43,Ho Chi Minh City,Tiki,Mid-Level,IT Infrastructure,Full-Time,2020-11-21,33,43,2020-11,38.0
Web Application Developer,Design scalable backend systems with SQL to support web platforms.,"java, node.js, sql",£36 - £50,Hanoi,Lazada Vietnam,Mid-Level,Mobile Development,Contract-Type,2020-03-19,36,50,2020-03,43.0
Software Engineer,Develop and maintain web applications using Python for client projects.,"hibernate, mongodb, python",£53 - £62,Da Nang,FPT Software,Senior,Mobile Development,Full-Time,2020-07-19,53,62,2020-07,57.5
Software Engineer,Integrate APIs and microservices using Hibernate for web systems.,"aws, docker, hibernate, postgresql",£59 - £66,Da Nang,FPT Software,Senior,Web Development,Contract-Type,2020-09-14,59,66,2020-09,62.5
Data Scientist,Create responsive front-end interfaces with PostgreSQL for modern web apps.,"aws, node.js, postgresql",£62 - £76,Ho Chi Minh City,Tiki,Senior,Cybersecurity,Full-Time,2020-10-06,62,76,2020-10,69.0
Web Developer,Design scalable backend systems with Spring Boot to support web platforms.,"mongodb, spring boot",£54 - £64,Remote,Grab Vietnam,Senior,Data Science,Full-Time,2020-05-17,54,64,2020-05,59.0
Full Stack Developer,Create responsive front-end interfaces with AWS for modern web apps.,"aws, java, react",£34 - £40,Remote,VNG,Mid-Level,Mobile Development,Full-Time,2020-02-14,34,40,2020-02,37.0
Web Application Developer,Lead development of web and full stack projects utilizing Node.js.,"docker, java, node.js, react",£34 - £46,Remote,TMA Solutions,Mid-Level,Cybersecurity,Part-Time,2020-08-31,34,46,2020-08,40.0
Java Developer,Develop and maintain web applications using AWS for client projects.,"aws, node.js, postgresql",£20 - £32,Ho Chi Minh City,Nexlify Vietnam,Entry-Level,Cloud Computing,Contract-Type,2020-07-03,20,32,2020-07,26.0
Full Stack Developer,Develop and maintain web applications using React for client projects.,"aws, react",£57 - £63,Hanoi,VinAI,Senior,Data Science,Full-Time,2020-01-01,57,63,2020-01,60.0
Web Application Developer,Create responsive front-end interfaces with Java for modern web apps.,"java, postgresql, spring boot",£34 - £40,Hanoi,TMA Solutions,Mid-Level,Cloud Computing,Part-Time,2020-08-13,34,40,2020-08,37.0
Web Developer,Optimize Java-based web applications with Git for performance.,"aws, docker, git, react",£63 - £75,Ho Chi Minh City,VNG,Senior,Data Science,Full-Time,2020-12-02,63,75,2020-12,69.0
Data Scientist,Develop and maintain web applications using Docker for client projects.,"docker, java, python, spring boot",£15 - £29,Hai Phong,CMC Global,Entry-Level,Mobile Development,Full-Time,2020-01-19,15,29,2020-01,22.0
Web Application Developer,Develop and maintain web applications using MongoDB for client projects.,"git, mongodb",£40 - £47,Hanoi,VinAI,Mid-Level,Cybersecurity,Full-Time,2020-09-05,40,47,2020-09,43.5
Web Application Developer,Integrate APIs and microservices using Docker for web systems.,"docker, java, mongodb, python",£32 - £47,Hanoi,VinAI,Mid-Level,Artificial Intelligence,Full-Time,2020-11-13,32,47,2020-11,39.5
Data Scientist,Design scalable backend systems with Git to support web platforms.,"git, hibernate, mongodb, react",£21 - £29,Remote,KMS Technology,Entry-Level,Data Science,Contract-Type,2020-12-22,21,29,2020-12,25.0
Software Engineer,Create responsive front-end interfaces with Docker for modern web apps.,"docker, java, postgresql, react",£34 - £41,Ho Chi Minh City,VinAI,Mid-Level,Mobile Development,Part-Time,2020-11-16,34,41,2020-11,37.5
Web Developer,Lead development of web and full stack projects utilizing AWS.,"aws, postgresql",£50 - £56,Remote,TMA Solutions,Senior,Artificial Intelligence,Full-Time,2020-10-29,50,56,2020-10,53.0
Java Developer,Design scalable backend systems with PostgreSQL to support web platforms.,"docker, java, postgresql",£30 - £42,Hanoi,Techcombank IT,Entry-Level,Mobile Development,Full-Time,2020-08-16,30,42,2020-08,36.0
Java Developer,Design scalable backend systems with Spring Boot to support web platforms.,"python, spring boot",£60 - £67,Remote,FPT Software,Senior,Cybersecurity,Part-Time,2020-09-10,60,67,2020-09,63.5
Web Developer,Create responsive front-end interfaces with Node.js for modern web apps.,"hibernate, node.js, postgresql, sql",£29 - £39,Hai Phong,Lazada Vietnam,Mid-Level,Mobile Development,Full-Time,2020-11-15,29,39,2020-11,34.0
Web Developer,Design scalable backend systems with Java to support web platforms.,"java, mongodb, python",£63 - £71,Ho Chi Minh City,Lazada Vietnam,Senior,Cybersecurity,Contract-Type,2020-06-10,63,71,2020-06,67.0
Java Developer,Optimize Java-based web applications with Spring Boot for performance.,"hibernate, spring boot, sql",£32 - £37,Da Nang,Shopee Vietnam,Mid-Level,Mobile Development,Full-Time,2020-07-15,32,37,2020-07,34.5
Data Scientist,Lead development of web and full stack projects utilizing Spring Boot.,"docker, node.js, spring boot, sql",£35 - £48,Remote,FPT Software,Mid-Level,Artificial Intelligence,Full-Time,2020-04-27,35,48,2020-04,41.5
Backend Developer,Optimize Java-based web applications with Hibernate for performance.,"docker, hibernate, java",£58 - £63,Remote,KMS Technology,Senior,Software Development,Part-Time,2020-04-23,58,63,2020-04,60.5
Cloud Engineer,Optimize Java-based web applications with Python for performance.,"docker, postgresql, python",£36 - £43,Ho Chi Minh City,Viettel Solutions,Mid-Level,IT Infrastructure,Full-Time,2020-12-17,36,43,2020-12,39.5
Data Scientist,Optimize Java-based web applications with PostgreSQL for performance.,"hibernate, postgresql",£55 - £64,Ho Chi Minh City,Haravan,Senior,Cloud Computing,Full-Time,2020-05-15,55,64,2020-05,59.5
Backend Developer,Integrate APIs and microservices using AWS for web systems.,"aws, java, node.js",£28 - £43,Ho Chi Minh City,VinAI,Entry-Level,Mobile Development,Full-Time,2020-08-22,28,43,2020-08,35.5
Software Engineer,Develop and maintain web applications using Git for client projects.,"docker, git, hibernate",£58 - £66,Remote,Shopee Vietnam,Senior,Mobile Development,Full-Time,2020-05-08,58,66,2020-05,62.0
Web Developer,Build full stack solutions using Hibernate to enhance user experience.,"git, hibernate, node.js",£37 - £47,Hanoi,Tiki,Mid-Level,Software Development,Full-Time,2020-08-27,37,47,2020-08,42.0
Data Scientist,Create responsive front-end interfaces with Docker for modern web apps.,"docker, java, spring boot",£39 - £54,Ho Chi Minh City,VinAI,Mid-Level,IT Infrastructure,Part-Time,2020-10-12,39,54,2020-10,46.5
Software Engineer,Design scalable backend systems with Python to support web platforms.,"python, spring boot",£50 - £60,Da Nang,Tiki,Senior,Web Development,Full-Time,2020-02-09,50,60,2020-02,55.0
Full Stack Developer,Develop and maintain web applications using Python for client projects.,"docker, java, node.js, python",£37 - £47,Da Nang,Nexlify Vietnam,Mid-Level,Software Development,Full-Time,2020-07-28,37,47,2020-07,42.0
Software Engineer,Create responsive front-end interfaces with Docker for modern web apps.,"aws, docker, java",£32 - £42,Ho Chi Minh City,Haravan,Mid-Level,Web Development,Part-Time,2020-02-05,32,42,2020-02,37.0
Software Engineer,Design scalable backend systems with PostgreSQL to support web platforms.,"aws, hibernate, node.js, postgresql",£19 - £32,Da Nang,Techcombank IT,Entry-Level,Software Development,Full-Time,2020-05-12,19,32,2020-05,25.5
Full Stack Developer,Develop and maintain web applications using Hibernate for client projects.,"docker, hibernate",£38 - £53,Hanoi,CMC Global,Mid-Level,Artificial Intelligence,Contract-Type,2020-09-08,38,53,2020-09,45.5
Software Engineer,Optimize Java-based web applications with MongoDB for performance.,"mongodb, sql",£26 - £36,Hanoi,Axon Active,Entry-Level,Software Development,Full-Time,2020-02-21,26,36,2020-02,31.0
Web Developer,Optimize Java-based web applications with Git for performance.,"git, python",£23 - £30,Hai Phong,Nexlify Vietnam,Entry-Level,Mobile Development,Full-Time,2020-10-22,23,30,2020-10,26.5
Backend Developer,Optimize Java-based web applications with Java for performance.,"java, mongodb, sql",£54 - £61,Da Nang,Grab Vietnam,Senior,Software Development,Full-Time,2020-11-29,54,61,2020-11,57.5
Cloud Engineer,Optimize Java-based web applications with AWS for performance.,"aws, hibernate, mongodb, spring boot",£29 - £44,Ho Chi Minh City,Viettel Solutions,Entry-Level,Cybersecurity,Full-Time,2020-06-27,29,44,2020-06,36.5
Software Engineer,Integrate APIs and microservices using AWS for web systems.,"aws, hibernate, mongodb, node.js",£59 - £72,Ho Chi Minh City,KMS Technology,Senior,Cybersecurity,Full-Time,2020-05-08,59,72,2020-05,65.5
Java Developer,Create responsive front-end interfaces with Git for modern web apps.,"git, postgresql, python, spring boot",£31 - £37,Can Tho,TMA Solutions,Mid-Level,IT Infrastructure,Contract-Type,2020-10-02,31,37,2020-10,34.0
Java Developer,Lead development of web and full stack projects utilizing Python.,"docker, node.js, python, react",£28 - £42,Remote,CMC Global,Mid-Level,Artificial Intelligence,Full-Time,2020-02-12,28,42,2020-02,35.0
Software Engineer,Integrate APIs and microservices using MongoDB for web systems.,"mongodb, postgresql, react",£29 - £42,Da Nang,Shopee Vietnam,Mid-Level,Artificial Intelligence,Full-Time,2020-07-20,29,42,2020-07,35.5
Web Application Developer,Lead development of web and full stack projects utilizing Hibernate.,"docker, hibernate, node.js, spring boot",£56 - £66,Can Tho,FPT Software,Senior,Web Development,Full-Time,2020-10-01,56,66,2020-10,61.0
Web Developer,Build full stack solutions using Spring Boot to enhance user experience.,"postgresql, spring boot, sql",£65 - £73,Hanoi,Tiki,Senior,Mobile Development,Full-Time,2020-04-18,65,73,2020-04,69.0
Web Developer,Design scalable backend systems with React to support web platforms.,"node.js, react, spring boot",£65 - £74,Ho Chi Minh City,Tiki,Senior,Cybersecurity,Contract-Type,2020-10-14,65,74,2020-10,69.5
Software Engineer,Create responsive front-end interfaces with Hibernate for modern web apps.,"hibernate, java, mongodb, postgresql",£22 - £35,Hue,Viettel Solutions,Entry-Level,IT Infrastructure,Full-Time,2020-03-07,22,35,2020-03,28.5
Java Developer,Lead development of web and full stack projects utilizing Java.,"docker, hibernate, java, sql",£19 - £34,Da Nang,CMC Global,Entry-Level,IT Infrastructure,Full-Time,2020-02-17,19,34,2020-02,26.5
Web Application Developer,Integrate APIs and microservices using Python for web systems.,"python, spring boot",£28 - £38,Ho Chi Minh City,Shopee Vietnam,Entry-Level,Software Development,Full-Time,2020-08-09,28,38,2020-08,33.0
Java Developer,Design scalable backend systems with SQL to support web platforms.,"aws, python, react, sql",£61 - £66,Ho Chi Minh City,VNG,Senior,Cloud Computing,Contract-Type,2020-09-12,61,66,2020-09,63.5
Full Stack Developer,Create responsive front-end interfaces with PostgreSQL for modern web apps.,"git, java, postgresql, react",£34 - £41,Da Nang,CMC Global,Mid-Level,Cloud Computing,Contract-Type,2020-08-21,34,41,2020-08,37.5
Software Engineer,Lead development of web and full stack projects utilizing Hibernate.,"git, hibernate, spring boot, sql",£20 - £34,Ho Chi Minh City,VinAI,Entry-Level,Web Development,Full-Time,2020-09-24,20,34,2020-09,27.0
Data Scientist,Lead development of web and full stack projects utilizing Hibernate.,"hibernate, postgresql",£35 - £47,Ho Chi Minh City,Shopee Vietnam,Mid-Level,Data Science,Full-Time,2020-02-12,35,47,2020-02,41.0
Full Stack Developer,Design scalable backend systems with Java to support web platforms.,"aws, java, spring boot",£36 - £51,Ho Chi Minh City,Zalo,Mid-Level,Artificial Intelligence,Full-Time,2020-05-03,36,51,2020-05,43.5
Java Developer,Integrate APIs and microservices using React for web systems.,"java, postgresql, react, sql",£55 - £61,Remote,Lazada Vietnam,Senior,Cybersecurity,Contract-Type,2020-01-23,55,61,2020-01,58.0
Full Stack Developer,Design scalable backend systems with MongoDB to support web platforms.,"mongodb, react, spring boot",£30 - £38,Remote,Nexlify Vietnam,Mid-Level,Mobile Development,Full-Time,2020-08-05,30,38,2020-08,34.0
Cloud Engineer,Build full stack solutions using SQL to enhance user experience.,"aws, hibernate, java, sql",£32 - £43,Ho Chi Minh City,Axon Active,Mid-Level,IT Infrastructure,Full-Time,2020-03-15,32,43,2020-03,37.5
Java Developer,Design scalable backend systems with Hibernate to support web platforms.,"hibernate, java",£56 - £61,Da Nang,Techcombank IT,Senior,Artificial Intelligence,Contract-Type,2020-05-06,56,61,2020-05,58.5
Web Developer,Create responsive front-end interfaces with MongoDB for modern web apps.,"docker, hibernate, mongodb, sql",£34 - £46,Hanoi,Shopee Vietnam,Mid-Level,Cybersecurity,Part-Time,2020-11-21,34,46,2020-11,40.0
Backend Developer,Build full stack solutions using Docker to enhance user experience.,"docker, node.js, react",£41 - £48,Ho Chi Minh City,TMA Solutions,Mid-Level,Web Development,Full-Time,2020-03-23,41,48,2020-03,44.5
Software Engineer,Design scalable backend systems with Git to support web platforms.,"docker, git, node.js, postgresql",£38 - £52,Hanoi,KMS Technology,Mid-Level,Artificial Intelligence,Full-Time,2020-01-30,38,52,2020-01,45.0
Web Application Developer,Integrate APIs and microservices using Java for web systems.,"hibernate, java, spring boot, sql",£51 - £63,Remote,Haravan,Senior,Web Development,Full-Time,2020-05-25,51,63,2020-05,57.0
Full Stack Developer,Integrate APIs and microservices using Docker for web systems.,"docker, git, react",£63 - £70,Ho Chi Minh City,VinAI,Senior,Mobile Development,Full-Time,2020-01-25,63,70,2020-01,66.5
Software Engineer,Build full stack solutions using React to enhance user experience.,"java, node.js, react",£30 - £41,Da Nang,Haravan,Mid-Level,Data Science,Part-Time,2020-02-28,30,41,2020-02,35.5
Software Engineer,Design scalable backend systems with Git to support web platforms.,"aws, git",£21 - £27,Hanoi,KMS Technology,Entry-Level,Mobile Development,Contract-Type,2020-10-01,21,27,2020-10,24.0
Cloud Engineer,Integrate APIs and microservices using PostgreSQL for web systems.,"java, postgresql, python",£35 - £43,Hanoi,Axon Active,Mid-Level,Cybersecurity,Full-Time,2020-08-20,35,43,2020-08,39.0
Java Developer,Create responsive front-end interfaces with PostgreSQL for modern web apps.,"git, node.js, postgresql, spring boot",£22 - £29,Hai Phong,VNG,Entry-Level,Software Development,Full-Time,2020-07-08,22,29,2020-07,25.5
Web Application Developer,Design scalable backend systems with Java to support web platforms.,"java, postgresql",£64 - £78,Hanoi,Viettel Solutions,Senior,Mobile Development,Full-Time,2020-01-30,64,78,2020-01,71.0
Java Developer,Design scalable backend systems with Java to support web platforms.,"aws, java, mongodb, postgresql",£41 - £50,Hanoi,Nexlify Vietnam,Mid-Level,Software Development,Part-Time,2020-08-16,41,50,2020-08,45.5
Data Scientist,Lead development of web and full stack projects utilizing Node.js.,"mongodb, node.js, python",£56 - £70,Ho Chi Minh City,Lazada Vietnam,Senior,Mobile Development,Full-Time,2020-03-24,56,70,2020-03,63.0
Full Stack Developer,Optimize Java-based web applications with Hibernate for performance.,"hibernate, react",£16 - £24,Remote,VinAI,Entry-Level,Web Development,Part-Time,2020-12-28,16,24,2020-12,20.0
Cloud Engineer,Design scalable backend systems with Hibernate to support web platforms.,"git, hibernate, mongodb, spring boot",£57 - £63,Hanoi,Haravan,Senior,Artificial Intelligence,Full-Time,2020-05-18,57,63,2020-05,60.0
Full Stack Developer,Integrate APIs and microservices using MongoDB for web systems.,"hibernate, mongodb",£53 - £65,Remote,Techcombank IT,Senior,Web Development,Part-Time,2020-04-07,53,65,2020-04,59.0
Data Scientist,Develop and maintain web applications using Docker for client projects.,"docker, react, spring boot, sql",£53 - £60,Hue,TMA Solutions,Senior,Web Development,Full-Time,2020-08-24,53,60,2020-08,56.5
Software Engineer,Build full stack solutions using PostgreSQL to enhance user experience.,"aws, mongodb, postgresql, spring boot",£55 - £65,Ho Chi Minh City,VinAI,Senior,Cloud Computing,Full-Time,2020-12-25,55,65,2020-12,60.0
Full Stack Developer,Develop and maintain web applications using Docker for client projects.,"docker, hibernate, java, react",£37 - £50,Ho Chi Minh City,TMA Solutions,Mid-Level,Web Development,Full-Time,2020-05-05,37,50,2020-05,43.5
Software Engineer,Optimize Java-based web applications with MongoDB for performance.,"mongodb, react",£20 - £31,Hanoi,Haravan,Entry-Level,Cloud Computing,Full-Time,2020-11-14,20,31,2020-11,25.5
Software Engineer,Develop and maintain web applications using MongoDB for client projects.,"git, mongodb",£15 - £20,Hai Phong,TMA Solutions,Entry-Level,IT Infrastructure,Full-Time,2020-12-14,15,20,2020-12,17.5
Data Scientist,Build full stack solutions using AWS to enhance user experience.,"aws, node.js",£25 - £32,Can Tho,Techcombank IT,Entry-Level,IT Infrastructure,Part-Time,2020-12-20,25,32,2020-12,28.5
Full Stack Developer,Optimize Java-based web applications with Git for performance.,"docker, git, hibernate",£59 - £64,Da Nang,TMA Solutions,Senior,IT Infrastructure,Part-Time,2020-05-06,59,64,2020-05,61.5
Software Engineer,Design scalable backend systems with Java to support web platforms.,"java, mongodb, python, react",£59 - £67,Ho Chi Minh City,FPT Software,Senior,Web Development,Contract-Type,2020-06-02,59,67,2020-06,63.0
Software Engineer,Optimize Java-based web applications with Hibernate for performance.,"aws, hibernate, python, sql",£28 - £41,Vung Tau,KMS Technology,Mid-Level,Software Development,Part-Time,2020-07-14,28,41,2020-07,34.5
Cloud Engineer,Optimize Java-based web applications with Python for performance.,"docker, python",£32 - £37,Ho Chi Minh City,Axon Active,Mid-Level,Web Development,Full-Time,2020-12-12,32,37,2020-12,34.5
Web Application Developer,Build full stack solutions using Git to enhance user experience.,"git, node.js",£58 - £69,Ho Chi Minh City,TMA Solutions,Senior,Cloud Computing,Full-Time,2020-12-10,58,69,2020-12,63.5
Java Developer,Integrate APIs and microservices using Node.js for web systems.,"docker, node.js",£50 - £58,Remote,Grab Vietnam,Senior,Data Science,Part-Time,2020-03-29,50,58,2020-03,54.0
Web Developer,Lead development of web and full stack projects utilizing PostgreSQL.,"docker, postgresql, sql",£21 - £32,Ho Chi Minh City,TMA Solutions,Entry-Level,Software Development,Full-Time,2020-01-16,21,32,2020-01,26.5
Web Developer,Lead development of web and full stack projects utilizing React.,"java, python, react",£30 - £39,Da Nang,NashTech,Mid-Level,Cybersecurity,Part-Time,2020-12-03,30,39,2020-12,34.5
Web Developer,Develop and maintain web applications using Java for client projects.,"java, postgresql",£30 - £40,Ho Chi Minh City,CMC Global,Entry-Level,Software Development,Full-Time,2020-11-27,30,40,2020-11,35.0
Software Engineer,Design scalable backend systems with AWS to support web platforms.,"aws, hibernate, spring boot",£34 - £47,Hai Phong,VinAI,Mid-Level,Data Science,Full-Time,2020-03-13,34,47,2020-03,40.5
Cloud Engineer,Optimize Java-based web applications with Python for performance.,"git, postgresql, python, spring boot",£32 - £45,Ho Chi Minh City,Grab Vietnam,Mid-Level,Cybersecurity,Full-Time,2020-12-13,32,45,2020-12,38.5
Web Developer,Design scalable backend systems with React to support web platforms.,"aws, hibernate, java, react",£29 - £37,Hanoi,NashTech,Entry-Level,Data Science,Part-Time,2020-09-09,29,37,2020-09,33.0
Software Engineer,Build full stack solutions using PostgreSQL to enhance user experience.,"java, postgresql, python",£24 - £38,Da Nang,TMA Solutions,Entry-Level,Mobile Development,Full-Time,2020-07-18,24,38,2020-07,31.0
Cloud Engineer,Lead development of web and full stack projects utilizing Docker.,"docker, git, mongodb, react",£23 - £28,Da Nang,VNG,Entry-Level,Cybersecurity,Full-Time,2020-07-04,23,28,2020-07,25.5
Web Developer,Lead development of web and full stack projects utilizing Node.js.,"aws, mongodb, node.js, python",£35 - £46,Hanoi,Haravan,Mid-Level,Web Development,Full-Time,2020-07-24,35,46,2020-07,40.5
Cloud Engineer,Develop and maintain web applications using Hibernate for client projects.,"aws, hibernate",£28 - £36,Remote,KMS Technology,Mid-Level,Software Development,Part-Time,2020-03-05,28,36,2020-03,32.0
Cloud Engineer,Develop and maintain web applications using MongoDB for client projects.,"git, java, mongodb",£28 - £38,Hanoi,FPT Software,Entry-Level,Artificial Intelligence,Contract-Type,2020-02-03,28,38,2020-02,33.0
Web Application Developer,Optimize Java-based web applications with Python for performance.,"hibernate, python",£55 - £60,Hanoi,CMC Global,Senior,Software Development,Part-Time,2020-10-13,55,60,2020-10,57.5
Full Stack Developer,Lead development of web and full stack projects utilizing Git.,"aws, git, java",£50 - £57,Remote,FPT Software,Senior,Web Development,Part-Time,2020-04-15,50,57,2020-04,53.5
Cloud Engineer,Optimize Java-based web applications with Git for performance.,"aws, git, java, python",£41 - £50,Ho Chi Minh City,Shopee Vietnam,Mid-Level,IT Infrastructure,Full-Time,2020-03-09,41,50,2020-03,45.5
Full Stack Developer,Design scalable backend systems with React to support web platforms.,"git, mongodb, react, sql",£59 - £65,Remote,TMA Solutions,Senior,Mobile Development,Full-Time,2020-12-26,59,65,2020-12,62.0
Software Engineer,Design scalable backend systems with Git to support web platforms.,"git, python, sql",£35 - £50,Ho Chi Minh City,KMS Technology,Mid-Level,Software Development,Full-Time,2020-05-12,35,50,2020-05,42.5
Backend Developer,Optimize Java-based web applications with Hibernate for performance.,"hibernate, postgresql",£58 - £67,Hanoi,Lazada Vietnam,Senior,Mobile Development,Full-Time,2020-01-26,58,67,2020-01,62.5
Full Stack Developer,Integrate APIs and microservices using Node.js for web systems.,"node.js, python",£33 - £48,Remote,TMA Solutions,Mid-Level,Artificial Intelligence,Full-Time,2020-07-26,33,48,2020-07,40.5
Web Application Developer,Lead development of web and full stack projects utilizing Docker.,"docker, hibernate",£63 - £70,Hanoi,NashTech,Senior,IT Infrastructure,Full-Time,2020-09-28,63,70,2020-09,66.5
Software Engineer,Integrate APIs and microservices using Docker for web systems.,"docker, hibernate, python",£57 - £70,Ho Chi Minh City,TMA Solutions,Senior,Data Science,Full-Time,2020-09-07,57,70,2020-09,63.5
Web Application Developer,Create responsive front-end interfaces with Node.js for modern web apps.,"node.js, postgresql, python",£52 - £62,Remote,FPT Software,Senior,Artificial Intelligence,Full-Time,2020-09-15,52,62,2020-09,57.0
Full Stack Developer,Build full stack solutions using AWS to enhance user experience.,"aws, git, node.js, spring boot",£21 - £31,Ho Chi Minh City,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,2020-03-04,21,31,2020-03,26.0
Software Engineer,Integrate APIs and microservices using React for web systems.,"node.js, python, react, spring boot",£20 - £33,Remote,KMS Technology,Entry-Level,Web Development,Full-Time,2020-02-07,20,33,2020-02,26.5
Data Scientist,Develop and maintain web applications using Node.js for client projects.,"aws, hibernate, node.js, react",£52 - £66,Remote,TMA Solutions,Senior,Web Development,Part-Time,2020-04-18,52,66,2020-04,59.0
Software Engineer,Optimize Java-based web applications with React for performance.,"node.js, react",£22 - £32,Remote,Techcombank IT,Entry-Level,IT Infrastructure,Full-Time,2020-03-20,22,32,2020-03,27.0
Backend Developer,Create responsive front-end interfaces with SQL for modern web apps.,"aws, docker, spring boot, sql",£36 - £41,Remote,NashTech,Mid-Level,IT Infrastructure,Full-Time,2020-08-26,36,41,2020-08,38.5
Web Application Developer,Create responsive front-end interfaces with MongoDB for modern web apps.,"mongodb, node.js",£39 - £54,Hanoi,TMA Solutions,Mid-Level,Web Development,Contract-Type,2020-03-29,39,54,2020-03,46.5
